Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Federal Funding Types
ELEC,Government Center Self Park,181 North Clark,,Chicago,IL,60601,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,41.8856135,-87.63075645,6/23/2024,151747,0.12839,2024-06-23 03:19:38 UTC,,,,11/25/2015,,,,,J1772,US,0.20662,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,INTERPARK 200 N CLARK 1,200 N Clark St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.885939,-87.631224,7/17/2024,202956,0.13261,2024-07-17 01:42:51 UTC,,,,12/23/2021,,,,,J1772,US,0.21342,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,222 N LaSalle Parking Garage,222 N La Salle St,,Chicago,IL,60601,,855-900-7584,E,,Public,24 hours daily,,,,,,4,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,200-9,41.886578,-87.632776,7/17/2024,154393,0.16155,2024-07-17 02:50:02 UTC,,,,3/10/2020,,,,,J1772,US,0.25999,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,One Eleven,111 W Wacker Dr,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,41.8865153,-87.6314343,7/17/2024,147819,0.16488,2024-07-17 00:04:59 UTC,,,,7/5/2016,,,,,J1772,US,0.26535,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,North Dearborn St Garage - Tesla Destination,181 N Dearborn St,,Chicago,IL,60601,,877-798-3752,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,12,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,41.88529775,-87.62932012,4/14/2024,330986,0.17688,2024-04-14 22:11:34 UTC,P,,,3/21/2024,,,,,J1772 TESLA,US,0.28466,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PARKING_GARAGE,,,,,,,$0.28 per kWh,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,INTERPARK 181N DEARBORN 2,181 N Dearborn St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.885269,-87.629114,7/17/2024,205057,0.18587,2024-07-17 01:42:54 UTC,,,,1/20/2022,,,,,J1772,US,0.29913,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,INTERPARK 181N DEARBORN 1,181 N Dearborn St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.885269,-87.629082,7/17/2024,202797,0.1874,2024-07-17 01:42:54 UTC,,,,12/18/2021,,,,,J1772,US,0.30159,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,"Virgin Hotels, Chicago - LAZ Parking - Tesla Destination",203 N Wabash Ave,,Chicago,IL,60601,,  877-798-3752,E,,Public,,,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.88605,-87.626025,10/6/2022,169248,0.35388,2023-01-18 15:15:20 UTC,P,,,3/24/2015,,,,,TESLA,US,0.56951,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,PRUDENTIALPLAZA STATION 01,130 E Randolph St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.88536,-87.623191,7/17/2024,76523,0.48363,2024-07-17 00:39:10 UTC,,,,6/24/2016,,,,,J1772,US,0.77833,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,530207  Aon Center Parking Garage,200 E. Randolph Street,,Chicago,IL,60601,,800-663-5633,E,,Public,24 hours daily,,,,,,6,,,Blink Network,http://www.blinkcharging.com/,GPS,41.884798,-87.6215123,7/17/2024,147820,0.56537,2024-07-17 00:08:05 UTC,,,,11/12/2015,,,,,J1772,US,0.90987,,,,Public,,public,,,,,,,,,,$0.00-$5.00/Hr Variable Parking Fee,,,,,,,,,,,,,,,,,,,FALSE,
